GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,2208030,227
0400000US02,02,Alaska,308571,146
0400000US04,04,Arizona,2909336,295
0400000US05,05,Arkansas,1341081,220
0400000US06,06,California,13901594,650
0400000US08,08,Colorado,2276280,400
0400000US09,09,Connecticut,1493632,200
0400000US10,10,Delaware,417413,177
0400000US11,11,District of Columbia,306184,59
0400000US12,12,Florida,9144650,525
0400000US13,13,Georgia,4151387,330
0400000US15,15,Hawaii,530118,111
0400000US16,16,Idaho,685098,193
0400000US17,17,Illinois,5307508,476
0400000US18,18,Indiana,2829630,369
0400000US19,19,Iowa,1362034,268
0400000US20,20,Kansas,1248861,282
0400000US21,21,Kentucky,1950504,332
0400000US22,22,Louisiana,2011037,311
0400000US23,23,Maine,727693,371
0400000US24,24,Maryland,2422317,480
0400000US25,25,Massachusetts,2828592,282
0400000US26,26,Michigan,4540088,421
0400000US27,27,Minnesota,2385261,807
0400000US28,28,Mississippi,1294738,248
0400000US29,29,Missouri,2735803,422
0400000US30,30,Montana,491515,177
0400000US31,31,Nebraska,814957,401
0400000US32,32,Nevada,1198969,113
0400000US33,33,New Hampshire,619865,149
0400000US34,34,New Jersey,3591847,406
0400000US35,35,New Mexico,912910,247
0400000US36,36,New York,8191528,847
0400000US37,37,North Carolina,4452464,373
0400000US38,38,North Dakota,350534,369
0400000US39,39,Ohio,5147282,631
0400000US40,40,Oklahoma,1699556,314
0400000US41,41,Oregon,1700611,190
0400000US42,42,Pennsylvania,5590712,960
0400000US44,44,Rhode Island,462630,91
0400000US45,45,South Carolina,2188258,405
0400000US46,46,South Dakota,376347,206
0400000US47,47,Tennessee,2869419,337
0400000US48,48,Texas,10426760,740
0400000US49,49,Utah,1022593,149
0400000US50,50,Vermont,325774,97
0400000US51,51,Virginia,3446585,488
0400000US53,53,Washington,2963293,257
0400000US54,54,West Virginia,884574,231
0400000US55,55,Wisconsin,2648342,755
0400000US56,56,Wyoming,268205,116
0400000US72,72,Puerto Rico,1571275,7659
