GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,2190027,209
0400000US02,02,Alaska,307417,118
0400000US04,04,Arizona,2892359,448
0400000US05,05,Arkansas,1329777,274
0400000US06,06,California,13791262,659
0400000US08,08,Colorado,2247291,365
0400000US09,09,Connecticut,1488072,488
0400000US10,10,Delaware,412015,82
0400000US11,11,District of Columbia,302975,82
0400000US12,12,Florida,9047973,677
0400000US13,13,Georgia,4110162,454
0400000US15,15,Hawaii,526305,118
0400000US16,16,Idaho,676192,151
0400000US17,17,Illinois,5289653,519
0400000US18,18,Indiana,2809640,388
0400000US19,19,Iowa,1349607,435
0400000US20,20,Kansas,1239755,265
0400000US21,21,Kentucky,1936634,375
0400000US22,22,Louisiana,1990967,283
0400000US23,23,Maine,723140,130
0400000US24,24,Maryland,2404177,294
0400000US25,25,Massachusetts,2813641,270
0400000US26,26,Michigan,4525266,593
0400000US27,27,Minnesota,2368754,644
0400000US28,28,Mississippi,1283192,201
0400000US29,29,Missouri,2719109,265
0400000US30,30,Montana,485767,162
0400000US31,31,Nebraska,806888,638
0400000US32,32,Nevada,1186936,122
0400000US33,33,New Hampshire,616496,199
0400000US34,34,New Jersey,3578260,359
0400000US35,35,New Mexico,905134,292
0400000US36,36,New York,8126399,557
0400000US37,37,North Carolina,4394515,559
0400000US38,38,North Dakota,339293,180
0400000US39,39,Ohio,5124126,417
0400000US40,40,Oklahoma,1682358,207
0400000US41,41,Oregon,1684107,180
0400000US42,42,Pennsylvania,5565354,405
0400000US44,44,Rhode Island,461658,77
0400000US45,45,South Carolina,2158784,213
0400000US46,46,South Dakota,370207,292
0400000US47,47,Tennessee,2840998,322
0400000US48,48,Texas,10256203,658
0400000US49,49,Utah,1006164,170
0400000US50,50,Vermont,323936,138
0400000US51,51,Virginia,3412577,461
0400000US53,53,Washington,2928300,262
0400000US54,54,West Virginia,879424,204
0400000US55,55,Wisconsin,2633420,384
0400000US56,56,Wyoming,265471,91
0400000US72,72,Puerto Rico,1572849,6980
