GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,2137012,173
0400000US02,02,Alaska,282271,98
0400000US04,04,Arizona,2667550,158
0400000US05,05,Arkansas,1287472,410
0400000US06,06,California,13308705,472
0400000US08,08,Colorado,2127358,233
0400000US09,09,Connecticut,1438548,141
0400000US10,10,Delaware,388619,77
0400000US11,11,District of Columbia,284235,48
0400000US12,12,Florida,8716601,1360
0400000US13,13,Georgia,3961643,506
0400000US15,15,Hawaii,506751,76
0400000US16,16,Idaho,631022,332
0400000US17,17,Illinois,5246116,495
0400000US18,18,Indiana,2777953,495
0400000US19,19,Iowa,1329388,638
0400000US20,20,Kansas,1219100,516
0400000US21,21,Kentucky,1906198,285
0400000US22,22,Louisiana,1858586,526
0400000US23,23,Maine,696681,223
0400000US24,24,Maryland,2318430,314
0400000US25,25,Massachusetts,2722323,197
0400000US26,26,Michigan,4526914,769
0400000US27,27,Minnesota,2304473,390
0400000US28,28,Mississippi,1254936,452
0400000US29,29,Missouri,2647379,264
0400000US30,30,Montana,435586,96
0400000US31,31,Nebraska,780592,313
0400000US32,32,Nevada,1102409,129
0400000US33,33,New Hampshire,594126,93
0400000US34,34,New Jersey,3498786,1060
0400000US35,35,New Mexico,862095,109
0400000US36,36,New York,7940072,295
0400000US37,37,North Carolina,4124066,1181
0400000US38,38,North Dakota,310438,182
0400000US39,39,Ohio,5065254,352
0400000US40,40,Oklahoma,1623100,320
0400000US41,41,Oregon,1609764,199
0400000US42,42,Pennsylvania,5478158,356
0400000US44,44,Rhode Island,450877,123
0400000US45,45,South Carolina,2022033,174
0400000US46,46,South Dakota,356264,556
0400000US47,47,Tennessee,2724929,342
0400000US48,48,Texas,9433119,468
0400000US49,49,Utah,925295,123
0400000US50,50,Vermont,311420,135
0400000US51,51,Virginia,3273206,709
0400000US53,53,Washington,2744324,270
0400000US54,54,West Virginia,882631,192
0400000US55,55,Wisconsin,2558278,1073
0400000US56,56,Wyoming,242344,78
0400000US72,72,Puerto Rico,1434322,6118
