GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,2182358,538
0400000US02,02,Alaska,283895,238
0400000US04,04,Arizona,2753059,412
0400000US05,05,Arkansas,1309843,1576
0400000US06,06,California,13434537,1324
0400000US08,08,Colorado,2167902,735
0400000US09,09,Connecticut,1445840,626
0400000US10,10,Delaware,396270,114
0400000US11,11,District of Columbia,285164,58
0400000US12,12,Florida,8848172,2167
0400000US13,13,Georgia,4063506,1194
0400000US15,15,Hawaii,515663,151
0400000US16,16,Idaho,647537,281
0400000US17,17,Illinois,5290878,2704
0400000US18,18,Indiana,2809487,536
0400000US19,19,Iowa,1342052,1199
0400000US20,20,Kansas,1231995,1463
0400000US21,21,Kentucky,1934995,511
0400000US22,22,Louisiana,1963337,325
0400000US23,23,Maine,704574,1300
0400000US24,24,Maryland,2341332,446
0400000US25,25,Massachusetts,2748475,446
0400000US26,26,Michigan,4541470,1043
0400000US27,27,Minnesota,2331243,1456
0400000US28,28,Mississippi,1282015,596
0400000US29,29,Missouri,2682015,429
0400000US30,30,Montana,441318,314
0400000US31,31,Nebraska,789397,1180
0400000US32,32,Nevada,1138045,233
0400000US33,33,New Hampshire,600087,134
0400000US34,34,New Jersey,3524954,2780
0400000US35,35,New Mexico,878066,391
0400000US36,36,New York,8017978,1600
0400000US37,37,North Carolina,4258573,872
0400000US38,38,North Dakota,315625,879
0400000US39,39,Ohio,5094314,512
0400000US40,40,Oklahoma,1650184,687
0400000US41,41,Oregon,1639539,517
0400000US42,42,Pennsylvania,5518579,847
0400000US44,44,Rhode Island,452180,122
0400000US45,45,South Carolina,2084361,386
0400000US46,46,South Dakota,364691,1256
0400000US47,47,Tennessee,2780788,728
0400000US48,48,Texas,9724258,1990
0400000US49,49,Utah,952860,629
0400000US50,50,Vermont,314259,117
0400000US51,51,Virginia,3330481,1255
0400000US53,53,Washington,2814297,480
0400000US54,54,West Virginia,893766,227
0400000US55,55,Wisconsin,2584342,1836
0400000US56,56,Wyoming,249404,148
0400000US72,72,Puerto Rico,1428627,6158
