GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,2182199,249
0400000US02,02,Alaska,311182,194
0400000US04,04,Arizona,2864360,369
0400000US05,05,Arkansas,1324471,234
0400000US06,06,California,13721187,730
0400000US08,08,Colorado,2224661,359
0400000US09,09,Connecticut,1494042,230
0400000US10,10,Delaware,409779,736
0400000US11,11,District of Columbia,298908,51
0400000US12,12,Florida,9027271,1180
0400000US13,13,Georgia,4103118,411
0400000US15,15,Hawaii,522314,118
0400000US16,16,Idaho,674394,189
0400000US17,17,Illinois,5296209,1208
0400000US18,18,Indiana,2800799,396
0400000US19,19,Iowa,1340588,287
0400000US20,20,Kansas,1237738,367
0400000US21,21,Kentucky,1932731,270
0400000US22,22,Louisiana,1978974,263
0400000US23,23,Maine,725650,249
0400000US24,24,Maryland,2391508,329
0400000US25,25,Massachusetts,2819028,246
0400000US26,26,Michigan,4525654,338
0400000US27,27,Minnesota,2354075,405
0400000US28,28,Mississippi,1281760,248
0400000US29,29,Missouri,2723449,319
0400000US30,30,Montana,489183,119
0400000US31,31,Nebraska,801182,185
0400000US32,32,Nevada,1183917,133
0400000US33,33,New Hampshire,617702,142
0400000US34,34,New Jersey,3562720,312
0400000US35,35,New Mexico,908168,178
0400000US36,36,New York,8119804,706
0400000US37,37,North Carolina,4362956,384
0400000US38,38,North Dakota,320888,121
0400000US39,39,Ohio,5133528,397
0400000US40,40,Oklahoma,1674724,191
0400000US41,41,Oregon,1684244,278
0400000US42,42,Pennsylvania,5579394,523
0400000US44,44,Rhode Island,464741,84
0400000US45,45,South Carolina,2157063,687
0400000US46,46,South Dakota,366521,278
0400000US47,47,Tennessee,2829125,239
0400000US48,48,Texas,10099242,1506
0400000US49,49,Utah,993125,165
0400000US50,50,Vermont,324385,95
0400000US51,51,Virginia,3387801,429
0400000US53,53,Washington,2907605,257
0400000US54,54,West Virginia,881821,210
0400000US55,55,Wisconsin,2634806,1169
0400000US56,56,Wyoming,265554,96
0400000US72,72,Puerto Rico,1567959,6908
