GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,2189567,314
0400000US02,02,Alaska,307628,120
0400000US04,04,Arizona,2871486,347
0400000US05,05,Arkansas,1328225,186
0400000US06,06,California,13708197,757
0400000US08,08,Colorado,2230536,335
0400000US09,09,Connecticut,1488002,192
0400000US10,10,Delaware,410308,130
0400000US11,11,District of Columbia,300247,68
0400000US12,12,Florida,9031530,639
0400000US13,13,Georgia,4107554,489
0400000US15,15,Hawaii,524387,108
0400000US16,16,Idaho,673048,198
0400000US17,17,Illinois,5290149,1419
0400000US18,18,Indiana,2808430,339
0400000US19,19,Iowa,1345711,221
0400000US20,20,Kansas,1238703,222
0400000US21,21,Kentucky,1937321,391
0400000US22,22,Louisiana,1987059,355
0400000US23,23,Maine,724187,192
0400000US24,24,Maryland,2395635,398
0400000US25,25,Massachusetts,2810394,204
0400000US26,26,Michigan,4525081,464
0400000US27,27,Minnesota,2361074,907
0400000US28,28,Mississippi,1283897,220
0400000US29,29,Missouri,2720087,435
0400000US30,30,Montana,486161,150
0400000US31,31,Nebraska,804274,215
0400000US32,32,Nevada,1182842,330
0400000US33,33,New Hampshire,617005,115
0400000US34,34,New Jersey,3574763,1536
0400000US35,35,New Mexico,906838,291
0400000US36,36,New York,8123585,1019
0400000US37,37,North Carolina,4375400,520
0400000US38,38,North Dakota,329249,132
0400000US39,39,Ohio,5128846,400
0400000US40,40,Oklahoma,1677646,511
0400000US41,41,Oregon,1682531,205
0400000US42,42,Pennsylvania,5572765,733
0400000US44,44,Rhode Island,462618,150
0400000US45,45,South Carolina,2156768,199
0400000US46,46,South Dakota,368247,286
0400000US47,47,Tennessee,2834808,438
0400000US48,48,Texas,10154835,788
0400000US49,49,Utah,996777,166
0400000US50,50,Vermont,324052,118
0400000US51,51,Virginia,3398389,463
0400000US53,53,Washington,2914775,266
0400000US54,54,West Virginia,882800,188
0400000US55,55,Wisconsin,2632625,287
0400000US56,56,Wyoming,265207,118
0400000US72,72,Puerto Rico,1583437,6946
