GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,2110139,230
0400000US02,02,Alaska,276590,137
0400000US04,04,Arizona,2605095,331
0400000US05,05,Arkansas,1273433,225
0400000US06,06,California,13174781,423
0400000US08,08,Colorado,2095235,200
0400000US09,09,Connecticut,1432250,206
0400000US10,10,Delaware,382866,67
0400000US11,11,District of Columbia,282900,49
0400000US12,12,Florida,8531860,826
0400000US13,13,Georgia,3873405,291
0400000US15,15,Hawaii,500021,80
0400000US16,16,Idaho,615703,158
0400000US17,17,Illinois,5199743,471
0400000US18,18,Indiana,2756583,250
0400000US19,19,Iowa,1319980,618
0400000US20,20,Kansas,1207391,495
0400000US21,21,Kentucky,1888336,322
0400000US22,22,Louisiana,1829933,236
0400000US23,23,Maine,691164,222
0400000US24,24,Maryland,2300749,433
0400000US25,25,Massachusetts,2709208,185
0400000US26,26,Michigan,4513502,618
0400000US27,27,Minnesota,2282837,724
0400000US28,28,Mississippi,1241439,154
0400000US29,29,Missouri,2622995,406
0400000US30,30,Montana,432080,139
0400000US31,31,Nebraska,774571,263
0400000US32,32,Nevada,1065267,168
0400000US33,33,New Hampshire,589840,105
0400000US34,34,New Jersey,3472782,433
0400000US35,35,New Mexico,850153,123
0400000US36,36,New York,7907514,440
0400000US37,37,North Carolina,4026558,1182
0400000US38,38,North Dakota,306982,466
0400000US39,39,Ohio,5045356,432
0400000US40,40,Oklahoma,1607416,242
0400000US41,41,Oregon,1586600,159
0400000US42,42,Pennsylvania,5453647,287
0400000US44,44,Rhode Island,449574,81
0400000US45,45,South Carolina,1975816,289
0400000US46,46,South Dakota,352289,494
0400000US47,47,Tennessee,2681320,226
0400000US48,48,Texas,9224920,650
0400000US49,49,Utah,901322,141
0400000US50,50,Vermont,309566,112
0400000US51,51,Virginia,3230821,356
0400000US53,53,Washington,2699658,213
0400000US54,54,West Virginia,877587,243
0400000US55,55,Wisconsin,2532958,960
0400000US56,56,Wyoming,239088,188
0400000US72,72,Puerto Rico,1437597,5917
